1, 482.4
2, 482.1
3, 480.4
4, 479.1
5, 480.5
6, 483
7, 480.4
8, 477.8
9, 476.5
10, 479.8
11, 485.5
12, 481.8
13, 478.2
14, 478.6
15, 480.9
16, 479.5
17, 478.6
18, 479.6
19, 481.9
20, 507.4
21, 507.7
22, 500.1
23, 534.7
24, 554.8
25, 561
26, 598.5
27, 651.7
28, 700.9
29, 857.9
30, 1105.9
31, 1346.2
32, 1635.6
33, 2020.6
34, 2327.7
35, 2753.4
36, 2885
37, 3266.5
38, 3464.3
39, 3598.6
40, 3795
41, 3797.2
42, 3938.8
43, 3964.5
44, 3968.5
45, 3975.5
46, 3963
47, 3948.7
48, 3922.4
49, 3953.4
50, 3939.5
51, 3982.6
52, 3991.7
53, 3929
54, 3985.9
55, 3949.9
56, 3935.5
57, 3910.2
58, 3971.8
59, 3968.1
60, 3941.2
61, 3856.3
62, 3879.5
63, 3776.4
64, 3627.7
65, 3471.6
66, 3342.9
67, 3171
68, 2958.1
69, 2748.3
70, 2327.5
71, 2223.8
72, 1797.6
73, 1483.1
74, 1383.9
75, 1224.2
76, 975.8
77, 876
78, 775.3
79, 699.5
80, 740.4
81, 617.1
82, 628.8
83, 574.6
84, 543.9
85, 576.4
86, 534.8
87, 510.7
88, 501.2
89, 499.7
90, 486.4
91, 486.2
92, 489.5
93, 483
94, 473.3
95, 483.9
96, 481.3
97, 482.8
98, 482.5
99, 481.4
100, 477.1
101, 478
102, 480.2
103, 486.8
104, 479.4
105, 479
106, 479.7
107, 474.7
108, 479.2
