1, 483.95
2, 483.275
3, 483.55
4, 483.5
5, 483.25
6, 482.825
7, 481.275
8, 484.575
9, 483.55
10, 483.7
11, 481.425
12, 483.025
13, 482.675
14, 482.05
15, 482.625
16, 481.8
17, 481.4
18, 481.725
19, 482.35
20, 481.3
21, 480.475
22, 481.35
23, 480.85
24, 483.65
25, 483.7
26, 483.3
27, 483.15
28, 481
29, 482.975
30, 480.75
31, 483.175
32, 483.35
33, 481.85
34, 482.3
35, 484.6
36, 484.65
37, 482.9
38, 484.25
39, 481.775
40, 482.4
41, 481.525
42, 482.35
43, 481.625
44, 482.65
45, 482.325
46, 483.55
47, 483.825
48, 482.1
49, 481.95
50, 482.55
51, 483.7
52, 482.825
53, 482.6
54, 483.375
55, 483.075
56, 482.675
57, 480.05
58, 480.225
59, 485.7
60, 485.575
61, 486.2
62, 485.55
63, 485.75
64, 483.65
65, 483.35
66, 485.5
67, 484.75
68, 482.475
69, 482.525
70, 482.2
71, 482.875
72, 482.8
73, 484.275
74, 485.75
75, 486.525
76, 483.625
77, 482.55
78, 482.85
79, 482.425
80, 482.1
81, 484.45
82, 484.05
83, 484.85
84, 483.475
85, 484.6
86, 484.3
87, 483.875
88, 482.2
89, 482.8
90, 481.5
91, 482.625
92, 483.9
93, 482.2
94, 483.125
95, 483.35
96, 482.3
97, 479.75
98, 481.475
99, 481.55
100, 482.05
